"n_components","covariance_model","bic","aic","log_likelihood","n_parameters"
3,"EVI",-343.33218969857,297.443637568295,-124.721818784147,24
4,"VII",-357.814488962618,313.83795983777,-133.918979918885,23
5,"VII",-365.560268514628,310.111601357211,-126.055800678606,29
6,"VEI",-374.982449546897,302.325575340627,-113.162787670314,38
2,"VVI",-410.312102568447,377.807711476168,-171.903855738084,17
