"archetype_id","archetype_name","players","avg_points_per_set","avg_attack_share","avg_block_share","avg_serve_share","avg_attack_points_per_set","avg_block_points_per_set","avg_serve_points_per_set","avg_matches","avg_sets"
1,"Volume Attackers",28,3.63079291709815,0.853165950016208,0.0844059127724037,0.0624281372113885,3.09824964421663,0.306000760734322,0.226542512147194,37,125.714285714286
2,"Balanced Scorers",18,1.80852438690288,0.695688760018977,0.241126539963055,0.0631847000179682,1.26039642792608,0.435753789515118,0.112374169461681,36.8888888888889,123.166666666667
3,"Block-Impact Scorers",4,0.605987358972366,0.435544786096257,0.304986909536542,0.259468304367201,0.271130124711755,0.178726436617813,0.156130797642798,38,140.25
