"sort_order","official_rank","player_name","team","total_points","matches","sets","attack_points","block_points","serve_points","season","competition","stat_table","source_url","accessed_date","notes","points_per_set","attack_points_per_set","block_points_per_set","serve_points_per_set","attack_share","block_share","serve_share","share_sum","archetype_1_prob","archetype_2_prob","archetype_3_prob","archetype_id","archetype_name","max_membership_probability"
11,11,"Cooper Robinson","HIROSHIMA THUNDERS",538,35,122,451,57,30,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.40983606557377,3.69672131147541,0.467213114754098,0.245901639344262,0.838289962825279,0.105947955390335,0.0557620817843866,1,0.99999999999996,4.05194357679976e-14,6.56111402814978e-86,1,"Volume Attackers",0.99999999999996
12,12,"Ulrik Dahl","NIPPON STEEL SAKAI BLAZERS",533,38,128,455,36,42,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.1640625,3.5546875,0.28125,0.328125,0.853658536585366,0.0675422138836773,0.0787992495309568,1,0.999999999999996,4.15905878885289e-15,2.58553801715437e-76,1,"Volume Attackers",0.999999999999996
13,13,"Mart Tammearu","VOREAS HOKKAIDO",526,38,139,458,30,38,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",3.7841726618705,3.29496402877698,0.215827338129496,0.273381294964029,0.870722433460076,0.0570342205323194,0.0722433460076046,1,0.999999999999956,4.3764019943542e-14,1.42695913987217e-70,1,"Volume Attackers",0.999999999999956
14,14,"Miguel Lopez","OSAKA BLUTEON",511,36,115,461,20,30,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.44347826086956,4.00869565217391,0.173913043478261,0.260869565217391,0.902152641878669,0.0391389432485323,0.0587084148727984,1,1,5.06701474554573e-19,9.96097042371208e-90,1,"Volume Attackers",1
15,14,"Matthew Neaves","VC NAGANO TRIDENTS",511,34,114,446,34,31,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.48245614035088,3.91228070175439,0.298245614035088,0.271929824561404,0.87279843444227,0.0665362035225049,0.060665362035225,1,1,9.83187619920088e-18,3.49960213142926e-89,1,"Volume Attackers",1
16,16,"Luciano Vicentin","Tokyo Great Bears",505,33,121,434,40,31,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",4.17355371900826,3.58677685950413,0.330578512396694,0.256198347107438,0.859405940594059,0.0792079207920792,0.0613861386138614,1,0.999999999999994,6.50324306584173e-15,7.36538394299927e-81,1,"Volume Attackers",0.999999999999994
17,17,"Mizumachi Taito","WOLFDOGS NAGOYA",464,37,134,386,24,54,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",3.46268656716418,2.88059701492537,0.17910447761194,0.402985074626866,0.831896551724138,0.0517241379310345,0.116379310344828,1,0.999999999952906,4.70941294433869e-11,4.98773457283764e-52,1,"Volume Attackers",0.999999999952906
18,18,"Arai Yudai","HIROSHIMA THUNDERS",409,38,128,359,26,24,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",3.1953125,2.8046875,0.203125,0.1875,0.877750611246944,0.0635696821515892,0.058679706601467,1,0.999999999986596,1.34043366832369e-11,3.65447576108027e-63,1,"Volume Attackers",0.999999999986596
19,19,"Goto Rikuto","Tokyo Great Bears",394,36,131,339,42,13,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",3.00763358778626,2.58778625954198,0.320610687022901,0.099236641221374,0.860406091370558,0.106598984771574,0.032994923857868,1,0.999999975399477,2.46005226624863e-08,7.3112452224495e-65,1,"Volume Attackers",0.999999975399477
20,19,"Egor Kliuka","SUNTORY SUNBIRDS OSAKA",394,36,116,318,52,24,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",3.39655172413793,2.74137931034483,0.448275862068966,0.206896551724138,0.807106598984772,0.131979695431472,0.0609137055837563,1,0.999989259824769,1.07401752308773e-05,7.87385351179877e-60,1,"Volume Attackers",0.999989259824769
