"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Hennepin","Private room",1.5,1,2,30,245,5,5,4.8,5,0,0,1,1,4.47626120769657,33
"Hennepin","Entire home/apt",2,4,8,1,58,219,4.67,4.66,4.8,1,0,1,2,1.66713932584475,115
"Dakota","Private room",1.5,2,1,30,270,10,5,5,5,0,0,0,1,11.1452177807194,30
"Chisago","Entire home/apt",3,4,13,3,259,10,4.8,4.9,4.8,0,1,0,1,33.1560586148037,360
"Washington","Entire home/apt",1.5,1,3,2,242,262,4.95,4.94,4.99,1,0,1,2,15.8376399341484,211
"Washington","Entire home/apt",2,4,8,2,176,17,4.88,4.88,5,0,0,1,1,26.1068924175314,300
"Ramsey","Entire home/apt",1,2,6,1,247,180,4.98,4.97,4.96,1,0,1,3,2.63452371031612,157
"Ramsey","Entire home/apt",1,1,4,30,57,79,4.92,4.92,4.91,1,1,1,2,2.14690081065204,99
"Washington","Entire home/apt",1,2,6,2,357,56,4.79,4.75,4.84,0,1,0,1,21.6972865319311,153
"Isanti","Entire home/apt",1,2,6,4,0,15,5,5,4.87,0,0,0,1,35.3245778606363,350
"Dakota","Entire home/apt",2,6,16,2,343,178,4.92,4.87,4.92,1,1,1,6,5.25644362043577,474
"Ramsey","Entire home/apt",1,3,4,2,320,44,4.09,4.11,4.05,0,0,1,14,3.59117837458064,79
"Scott","Entire home/apt",3,4,10,5,313,26,4.77,4.62,4.88,0,0,0,1,21.314287576395,475
"Hennepin","Entire home/apt",3,4,8,31,0,30,4.9,4.66,5,1,1,1,1,5.03993630538518,250
"Ramsey","Entire home/apt",1.5,4,8,2,17,6,4.83,5,4.5,0,0,1,1,1.41781711920888,144
"Washington","Private room",1,1,2,1,235,156,4.97,5,4.98,1,1,0,1,24.276499160177,45
"Hennepin","Private room",3.5,12,4,1,351,36,4.67,4.61,4.75,0,1,1,14,1.47479235488005,37
"Washington","Private room",1,1,2,1,346,74,5,4.97,4.77,1,0,1,1,7.06896656585116,95
"Pierce","Entire home/apt",2,4,10,2,283,78,4.95,4.91,4.91,1,1,0,1,50.3704542904109,295
"Hennepin","Private room",3.5,13,4,1,235,48,4.33,4.27,4.71,0,1,1,14,1.62004803508487,38
"Ramsey","Private room",1,2,3,1,365,3,5,4.5,5,0,0,1,14,3.61198812530916,58
"Anoka","Private room",2,1,1,10,190,3,5,5,4.67,0,1,1,3,9.07793222126556,29
"Hennepin","Private room",3.5,13,4,1,143,49,4.49,4.55,4.65,0,1,1,14,1.41104011010776,35
"Hennepin","Entire home/apt",1,1,2,2,328,82,4.96,4.99,4.85,1,0,0,5,12.6492302443956,71
"Hennepin","Private room",3.5,13,6,1,167,41,4.73,4.76,4.85,0,1,1,14,1.5706365644891,37
"Dakota","Entire home/apt",1,1,3,1,365,18,4.78,4.94,4.94,0,0,0,1,5.32434137113756,100
"Hennepin","Entire home/apt",1.5,4,9,3,291,165,4.7,4.48,4.88,0,0,1,5,1.98269421678451,119
"Hennepin","Entire home/apt",1,1,2,30,311,27,4.81,4.81,5,1,1,1,7,3.58805909832729,195
"Hennepin","Private room",3,9,8,1,343,86,4.27,4.34,4.53,0,1,1,14,1.47672710733565,39
"Hennepin","Private room",1.5,1,1,1,86,95,4.92,4.97,4.89,1,0,1,3,6.37323934512487,68
"Ramsey","Entire home/apt",1,1,5,1,65,135,4.92,4.93,4.98,1,1,1,1,1.95332151528679,80
"Washington","Entire home/apt",2.5,3,6,2,82,19,5,5,5,1,0,1,1,16.459239116648,800
"Hennepin","Entire home/apt",1,2,6,1,347,463,4.42,4.39,4.79,0,1,1,2,2.02863099027861,127
"Wright","Entire home/apt",2,3,9,3,141,12,4.67,4.58,5,0,0,0,1,39.7947038114554,295
"Hennepin","Private room",3.5,12,3,1,239,39,4.62,4.82,4.85,0,1,1,14,1.53198825389864,37
"Hennepin","Entire home/apt",1,2,6,2,210,53,4.98,4.98,5,1,1,1,6,4.26873845837288,146
"Hennepin","Entire home/apt",1,2,6,2,256,44,4.98,4.98,4.95,1,0,1,6,4.26873845837288,138
"Hennepin","Entire home/apt",2.5,3,6,3,54,23,4.91,4.7,4.91,0,0,1,1,21.0965045803425,289
"Hennepin","Entire home/apt",1,1,3,1,165,219,4.78,4.83,4.95,1,0,1,2,2.0450464509081,100
"St. Croix","Entire home/apt",1,3,7,1,178,269,4.8,4.81,4.84,0,1,1,2,16.6681302790749,176
"Washington","Entire home/apt",1,2,4,2,357,122,4.99,4.99,4.99,1,0,1,1,9.48030919106134,143
"Sherburne","Entire home/apt",1,1,3,7,297,19,4.84,4.79,4.74,1,0,1,24,48.6376460071675,62
"Hennepin","Entire home/apt",1,1,3,2,69,270,4.83,4.79,4.89,0,0,1,16,0.560776457820472,91
"Dakota","Entire home/apt",2,4,10,1,85,114,4.96,4.91,4.94,1,1,1,1,29.4592226522826,300
"Hennepin","Private room",1,1,1,1,99,5,4.6,4.2,5,0,0,1,1,1.99387672839867,49
"Hennepin","Entire home/apt",1,1,2,3,117,242,4.87,4.92,4.94,1,0,1,2,5.3454709431844,62
"Hennepin","Entire home/apt",1,2,6,30,124,79,4.81,4.91,4.96,0,0,0,1,1.98476253940622,100
"Ramsey","Private room",1,1,2,3,0,293,4.95,4.98,4.93,0,0,1,1,6.76352705975573,55
"Hennepin","Entire home/apt",1,1,2,2,346,72,4.92,4.97,4.94,0,0,1,1,13.708561931702,195
"Hennepin","Entire home/apt",1,1,5,2,172,109,4.89,4.91,4.9,1,0,1,8,6.41175523788812,92
"Pierce","Entire home/apt",1.5,4,12,2,161,109,5,4.96,4.92,1,0,0,1,48.3663976923839,290
"Mille Lacs","Entire home/apt",2.5,2,4,2,343,59,4.85,4.92,4.97,1,1,1,2,81.6560537314119,214
"Ramsey","Entire home/apt",1,1,4,3,301,7,4.57,4.43,4.86,0,1,1,1,1.17432987050578,215
"Hennepin","Private room",1,1,2,1,53,167,4.84,4.84,4.72,1,0,1,4,4.23318437802228,38
"Hennepin","Private room",1,1,2,4,74,18,4.94,5,4.94,0,0,1,1,7.43327436566943,52
"Hennepin","Entire home/apt",1,2,3,1,72,176,4.93,4.98,4.98,1,0,1,6,0.865669288689017,99
"Carver","Private room",1,1,2,1,328,217,4.85,4.94,4.89,1,0,1,2,19.1332344753665,39
"Hennepin","Entire home/apt",1,1,3,2,108,242,4.76,4.72,4.9,0,0,1,16,0.625762574120676,65
"Ramsey","Entire home/apt",1,2,4,1,0,132,4.82,4.79,4.86,0,0,1,6,3.60528575968823,99
"Dakota","Entire home/apt",3.5,4,10,2,135,109,4.97,4.97,4.99,0,0,0,1,18.6767543860359,275
"Dakota","Entire home/apt",3.5,5,14,2,264,30,4.87,4.93,4.9,0,0,1,1,5.62466731968513,1000
"Hennepin","Entire home/apt",1,1,2,2,252,97,4.94,4.95,4.95,1,1,0,1,5.11747178851827,84
"Washington","Entire home/apt",1,1,3,2,209,191,4.96,4.97,5,1,0,1,2,15.8376399341484,241
"Carver","Entire home/apt",1,1,2,2,214,146,4.97,4.99,4.98,1,0,0,1,15.4208191013198,75
"Hennepin","Entire home/apt",2,2,4,30,0,2,4.5,4.5,5,0,0,1,1,1.47072070692981,150
"Ramsey","Private room",1,1,1,1,365,1,5,5,5,0,0,1,1,1.31688733816525,97
"Hennepin","Entire home/apt",1.5,2,4,30,142,12,4.55,4.55,4.91,0,0,0,1,11.4740969969944,65
"Hennepin","Entire home/apt",1,2,6,30,20,43,4.56,4.56,4.88,1,0,1,2,2.15124256043134,77
"Pierce","Entire home/apt",1.5,1,6,1,191,128,4.96,5,4.91,1,0,1,1,32.9035887609634,120
"Ramsey","Entire home/apt",2,2,4,1,161,138,4.93,4.93,5,1,0,0,1,3.52631484497482,129
"Dakota","Private room",1,1,2,1,240,5,5,5,5,1,0,1,1,6.98497423633302,85
"Hennepin","Entire home/apt",1,3,8,3,206,83,4.89,4.78,4.84,1,0,1,12,1.75325568444674,224
"Hennepin","Entire home/apt",2,2,4,2,0,5,4.6,4.8,5,0,0,1,2,11.4605759868787,120
"Ramsey","Entire home/apt",1,1,2,2,293,288,4.97,4.98,4.99,1,0,0,1,1.09781783699533,79
"Wright","Entire home/apt",2,2,4,7,0,3,5,5,5,1,1,0,1,36.1243614888218,150
"Washington","Entire home/apt",1.5,2,4,14,47,36,4.69,4.51,4.83,0,0,0,1,9.39165274032537,89
"Hennepin","Private room",1.5,1,3,1,89,29,4.86,4.9,4.97,0,0,1,1,3.1978145110516,94
"Hennepin","Entire home/apt",1,2,4,2,324,288,4.93,4.88,4.97,1,0,1,4,1.83538079062962,105
"Hennepin","Private room",1,1,2,1,7,86,4.95,4.97,4.93,1,0,1,2,2.32724788279032,37
"Ramsey","Private room",1,1,2,1,349,5,4.8,5,5,1,0,1,3,3.09504381304489,222
"Ramsey","Private room",1,1,2,1,0,19,5,4.89,5,1,0,1,3,3.1192162433108,94
"Ramsey","Private room",1,1,3,1,0,1,5,5,5,1,0,1,3,3.1168488541467,175
"Hennepin","Entire home/apt",1.5,1,2,2,203,10,4.7,5,4.5,1,0,0,2,2.19560498849871,124
"Ramsey","Entire home/apt",1,2,5,3,128,82,4.87,4.82,4.95,1,1,1,11,0.842786975550322,144
"Hennepin","Private room",1,1,1,1,21,228,4.69,4.68,4.89,0,1,1,5,4.92553422398141,34
"Ramsey","Private room",1,1,4,1,332,18,4.44,4.5,4.06,0,0,1,14,3.64393318142087,59
"Hennepin","Private room",1.5,1,2,1,18,194,4.83,4.78,4.71,1,1,1,6,2.24846368065911,42
"Anoka","Entire home/apt",3.5,5,9,5,0,1,5,5,5,0,1,0,1,13.5701706273085,800
"Washington","Entire home/apt",4.5,6,16,2,240,25,5,4.92,5,0,0,1,3,15.7821216734797,1750
"Hennepin","Private room",1.5,1,2,1,18,259,4.79,4.86,4.7,1,1,1,6,2.20312358645171,42
"Hennepin","Entire home/apt",2,4,12,2,199,57,5,4.98,5,1,1,1,6,4.26873845837288,257
"Hennepin","Private room",1,1,2,1,18,311,4.82,4.75,4.93,0,1,1,5,5.08487917859777,40
"Hennepin","Private room",1,1,2,1,19,276,4.87,4.77,4.92,0,1,1,5,4.99795666208787,41
"Hennepin","Private room",1.5,1,2,1,18,202,4.81,4.83,4.73,1,1,1,6,2.16103768558712,42
"Hennepin","Private room",1,1,2,1,61,120,4.87,4.9,4.9,1,0,1,4,4.28309507273863,38
"Hennepin","Entire home/apt",1,1,2,30,51,3,4.67,5,5,0,0,1,5,4.662228336541,55
"Hennepin","Private room",1.5,1,3,1,18,182,4.72,4.82,4.66,1,1,1,6,2.28001664311381,52
"Hennepin","Private room",1.5,1,2,1,18,200,4.79,4.85,4.73,1,1,1,6,2.2501094167999,42
"Hennepin","Entire home/apt",1,1,4,2,231,137,5,5,4.98,0,1,0,1,4.35859661328486,225
"Hennepin","Entire home/apt",1,2,2,30,178,11,5,5,5,0,1,1,1,2.39474878085368,140
"Hennepin","Entire home/apt",1,1,2,6,6,5,5,5,5,1,0,1,29,7.49022857566404,139
"Mille Lacs","Entire home/apt",2,3,8,2,298,60,4.92,4.73,4.93,1,0,1,1,90.2639306977485,225
"Hennepin","Entire home/apt",1,2,6,30,0,7,5,5,5,0,0,1,1,1.27446723290538,257
"Hennepin","Entire home/apt",1,1,2,30,75,23,4.36,4.45,4.64,0,0,1,1,0.790256229337284,109
"Hennepin","Private room",1,1,2,30,0,56,4.88,4.93,4.77,0,0,1,1,1.87379478758538,28
"Ramsey","Entire home/apt",1,2,5,2,290,185,4.91,4.8,4.99,1,0,1,1,3.40902369790651,126
"Ramsey","Entire home/apt",1,2,4,3,167,17,5,5,4.94,1,0,0,1,3.98441793650763,139
"Ramsey","Private room",1,1,2,1,3,86,4.95,4.98,4.94,1,1,1,1,1.62511806486242,66
"Anoka","Entire home/apt",2.5,4,10,2,11,52,4.98,4.9,4.92,0,1,1,1,6.0993662085109,120
"Ramsey","Private room",1,2,4,1,362,24,4.38,4.33,3.92,0,0,1,14,3.64393318142087,58
"Hennepin","Entire home/apt",1,3,6,30,97,57,4.75,4.74,4.95,1,0,1,2,2.09642546818389,81
"Hennepin","Entire home/apt",1.5,3,6,2,43,192,4.94,4.91,4.86,1,1,1,4,1.44083885262316,243
"Hennepin","Entire home/apt",1,1,2,30,19,178,4.96,4.96,4.88,1,0,1,2,1.2382868875712,58
"Carver","Entire home/apt",3.5,5,10,2,133,97,4.98,4.96,4.96,1,0,1,3,17.6864027438738,228
"Ramsey","Entire home/apt",2,2,4,5,125,10,4.9,4.8,5,0,0,0,1,9.42184163790677,140
"Hennepin","Private room",1,1,1,1,70,29,4.83,4.69,4.79,1,0,0,4,12.8901981283631,45
"Ramsey","Private room",1,1,4,1,334,1,3,5,1,0,0,1,14,3.64393318142087,68
"Dakota","Entire home/apt",1,2,4,7,365,6,5,5,4.5,0,1,1,3,2.01632855279659,125
"Dakota","Entire home/apt",1,1,2,3,53,6,5,5,5,0,0,1,3,2.75719450923454,95
"Hennepin","Entire home/apt",1,2,4,3,333,164,4.96,4.95,4.93,0,0,0,1,1.90553252977034,85
"Hennepin","Entire home/apt",1,2,7,2,168,93,4.95,4.97,4.92,1,0,1,8,6.28231688359498,109
"Hennepin","Entire home/apt",2,1,4,2,330,155,4.88,4.77,4.93,0,1,1,1,16.0618622890973,78
"St. Croix","Entire home/apt",2,3,8,2,179,74,4.81,4.5,4.91,1,0,0,1,23.3203947683402,325
"Washington","Entire home/apt",1,2,6,2,286,152,4.95,4.95,4.92,1,0,1,1,15.988872156085,112
"Ramsey","Private room",2,1,1,1,365,14,4.79,4.93,4.64,1,0,1,64,4.03099659789584,25
"Hennepin","Entire home/apt",2,2,6,28,178,2,4.5,4,5,0,0,0,1,8.01078275516784,200
"Washington","Entire home/apt",1,2,4,3,48,33,4.45,4.33,4.52,1,0,1,5,15.1933256001193,68
"Anoka","Entire home/apt",2,5,14,3,109,70,4.96,4.9,4.91,1,0,1,2,16.1796040335748,384
"Hennepin","Entire home/apt",2,4,8,2,127,100,4.96,4.93,4.96,1,0,1,1,3.63491190566352,214
"Hennepin","Private room",1,1,3,1,170,138,4.82,4.8,4.87,0,0,0,1,4.21690275316676,50
"Pierce","Entire home/apt",2.5,4,16,2,345,19,4.79,4.79,4.74,1,0,1,1,37.272125349366,664
"Hennepin","Private room",1,1,2,1,143,152,4.93,4.93,4.93,0,0,1,4,2.37437717630673,55
"Mille Lacs","Entire home/apt",3.5,4,8,2,259,220,4.8,4.53,4.96,0,1,1,1,83.5651062156165,300
"Hennepin","Entire home/apt",1,2,6,1,280,110,4.83,4.68,4.96,1,0,1,10,7.10255450849326,123
"Anoka","Entire home/apt",1,1,4,1,0,90,4.82,4.94,4.72,0,0,1,1,7.1111155735231,63
"Chisago","Entire home/apt",2,3,8,3,196,14,4.79,4.36,5,0,1,0,1,32.2659667107644,300
"Mille Lacs","Entire home/apt",1.5,3,6,2,73,32,4.91,4.91,4.72,0,0,1,1,81.4472077809004,165
"Hennepin","Private room",2,1,2,3,82,274,4.79,4.84,4.8,0,0,1,5,2.71102246225688,35
"Hennepin","Private room",2,1,2,3,82,209,4.87,4.82,4.85,0,0,1,5,2.58861623270509,35
"Hennepin","Private room",2,1,2,3,82,189,4.74,4.72,4.77,0,0,1,5,2.72653279880385,35
"Hennepin","Entire home/apt",1,1,2,2,144,211,4.64,4.66,4.87,0,0,1,16,0.583956319526081,69
"Washington","Entire home/apt",2,3,6,2,235,39,4.67,4.54,4.79,0,0,1,1,6.59080242596009,129
"Hennepin","Entire home/apt",1,3,6,2,248,152,4.93,4.94,4.87,1,0,1,1,2.55535198854656,145
"Hennepin","Entire home/apt",1,1,2,20,3,8,5,5,5,1,0,1,29,7.43135047080307,130
"Hennepin","Entire home/apt",1,3,6,1,60,137,4.87,4.83,4.93,1,0,1,12,0.850680905925128,150
"Ramsey","Entire home/apt",1,1,2,2,328,27,5,5,4.93,1,0,1,1,9.19633276054899,100
"Mille Lacs","Entire home/apt",2.5,3,6,3,71,77,4.96,4.91,4.99,1,0,0,1,81.6597814606248,148
"Hennepin","Entire home/apt",2,4,10,3,160,90,4.97,4.89,4.94,1,0,1,1,22.0675383854595,213
"Dakota","Private room",1,1,1,1,357,33,4.67,4.67,4.85,0,0,1,5,15.643337365207,27
"Hennepin","Entire home/apt",1,4,10,2,76,109,4.86,4.84,4.86,1,0,1,2,2.28067360612829,144
"Hennepin","Entire home/apt",1,1,2,30,46,9,4.78,4.67,4.44,1,0,1,11,2.42973559392001,64
"Washington","Entire home/apt",2,3,7,10,220,5,5,5,5,1,0,1,1,20.5335279131956,95
"Hennepin","Entire home/apt",1,3,8,2,43,10,4.6,4.4,5,0,0,1,2,3.67832985545441,145
"Dakota","Entire home/apt",3,5,16,3,194,135,4.76,4.71,4.68,0,0,1,1,7.99300959447188,397
"Hennepin","Entire home/apt",2,3,16,1,357,152,4.85,4.9,4.87,1,0,1,6,4.41613847823899,134
"Hennepin","Entire home/apt",1,2,4,1,0,43,4.81,4.86,4.95,0,0,1,1,3.48783015074933,71
"Carver","Private room",1.5,1,2,2,80,22,4.91,5,4.91,0,0,1,2,16.6323608889086,40
"Hennepin","Private room",1,1,2,1,358,7,4.29,5,5,0,0,0,1,14.2451291242206,99
"Hennepin","Entire home/apt",2,5,16,1,138,50,4.44,4.62,4.16,0,1,1,5,2.56601044316743,384
"Ramsey","Entire home/apt",1,2,4,2,0,45,4.96,4.91,4.98,0,0,1,1,1.1520828174121,125
"Chisago","Entire home/apt",2.5,3,6,2,224,58,4.98,4.98,5,1,0,0,1,38.2242641755215,325
"Hennepin","Entire home/apt",1,2,4,30,242,28,4.96,5,4.96,0,0,1,1,2.13973844872633,129
"Sherburne","Entire home/apt",1,2,5,3,329,23,4.57,4.78,4.74,1,0,1,24,48.654639592778,119
"Washington","Entire home/apt",3,3,10,2,273,65,4.74,4.57,4.91,0,0,0,1,15.7363099470048,529
"Washington","Entire home/apt",2,3,8,2,304,157,4.91,4.83,4.97,1,1,1,1,23.4854362088856,146
"Hennepin","Entire home/apt",1,1,4,2,84,2,5,5,5,0,1,1,29,6.6380222226678,114
"Hennepin","Private room",1,1,2,1,231,212,4.95,4.91,4.96,1,1,1,1,12.661745245051,55
"Hennepin","Entire home/apt",1.5,3,6,3,69,109,4.98,4.93,4.96,1,0,1,12,0.909616984006621,193
"Ramsey","Entire home/apt",1,1,4,1,90,134,4.7,4.72,4.82,1,0,1,1,0.807847238643131,75
"Hennepin","Entire home/apt",1,1,2,1,136,262,4.92,4.94,4.94,1,1,0,1,3.9960556488546,71
"Hennepin","Entire home/apt",1,1,3,2,283,137,4.8,4.77,4.91,0,1,1,2,4.28709283280507,75
"Hennepin","Entire home/apt",3,9,15,2,204,41,4.95,4.83,4.76,1,1,1,12,1.69356047834516,952
"Hennepin","Entire home/apt",2,3,6,2,41,112,4.96,4.91,4.96,1,0,0,1,5.44480491286247,186
"Hennepin","Private room",1.5,1,2,2,178,2,4.5,5,4.5,0,0,0,2,0.923168802413223,99
"Hennepin","Private room",1.5,1,2,2,178,1,5,5,5,0,0,0,2,0.868512766483627,99
"Anoka","Entire home/apt",3,3,6,2,10,3,5,5,5,0,0,0,1,13.5794585194748,475
"Wright","Private room",1,1,2,2,36,34,4.68,4.74,4.85,0,0,1,2,34.9088318028351,30
"Dakota","Entire home/apt",1,2,5,2,338,19,4.95,4.95,4.84,1,0,1,1,2.87078050360306,121
"Hennepin","Entire home/apt",3.5,4,8,2,0,30,4.3,4.23,4.8,0,1,1,29,9.34748116864362,223
"Ramsey","Entire home/apt",2,5,14,3,327,88,4.56,4.45,4.9,0,0,1,3,5.58900975827396,228
"Hennepin","Entire home/apt",2,3,8,3,248,75,4.77,4.8,4.81,0,0,1,3,2.52624675845891,143
"Hennepin","Entire home/apt",1,1,2,2,0,178,4.91,4.92,4.92,1,0,1,3,1.94220999666921,95
"Ramsey","Private room",1,2,4,1,179,2,4.5,5,5,0,0,1,4,3.95224596544259,110
"Hennepin","Entire home/apt",1,2,4,1,0,153,4.78,4.82,4.81,0,0,1,6,2.64739661942594,79
"Ramsey","Entire home/apt",1,1,2,1,310,299,4.96,4.94,4.94,1,0,1,2,4.75242576802854,105
"Hennepin","Private room",3.5,13,2,1,0,36,4.31,4.4,4.77,0,0,1,14,1.41159776296175,37
"Washington","Hotel room",1,1,2,1,274,17,5,4.82,5,0,1,1,5,15.7230673566617,212
"Pierce","Entire home/apt",1,2,4,1,341,245,4.97,4.98,4.96,1,0,1,1,19.8928600555594,193
"Hennepin","Entire home/apt",2,3,6,2,143,140,4.96,4.97,4.96,1,0,1,1,2.63781871095106,185
"Hennepin","Entire home/apt",1,1,3,2,358,50,4.88,4.74,4.88,0,0,1,38,0.117906318983591,158
"Hennepin","Entire home/apt",1,1,3,2,363,120,4.58,4.83,4.91,0,0,1,38,0.122224830641442,150
"Hennepin","Entire home/apt",1,1,3,2,200,57,4.86,4.98,4.88,0,0,1,38,0.218201743659712,121
"Hennepin","Entire home/apt",2,2,5,2,343,89,4.76,4.66,4.94,0,0,1,38,0.129099320992267,208
"Ramsey","Entire home/apt",1.5,3,6,2,268,68,4.82,4.75,4.91,1,0,0,1,6.94955600478319,146
"Carver","Private room",1,1,2,1,260,90,4.98,4.98,4.93,1,0,1,1,28.788016553971,57
"Washington","Entire home/apt",1,1,2,2,140,123,4.89,4.9,4.96,1,0,1,1,15.6294465227679,119
"Hennepin","Hotel room",1,1,2,1,364,41,4.88,4.95,4.83,0,1,1,4,6.78873594452036,120
"Hennepin","Hotel room",1,1,2,1,362,14,4.64,5,4.93,0,1,1,4,6.82061163627862,120
"Hennepin","Hotel room",1,2,6,2,352,15,4.73,4.93,4.87,0,1,1,4,6.81490184708759,230
"Washington","Hotel room",1,1,2,1,331,8,4.75,5,5,0,1,1,5,15.705569961123,166
"Washington","Hotel room",1,1,2,1,300,13,4.92,5,5,0,1,1,5,15.6488235078878,166
"Washington","Hotel room",1,1,2,1,312,3,5,5,4.67,0,1,1,5,15.7146229053205,186
"Hennepin","Entire home/apt",2.5,4,6,30,364,31,5,5,4.84,0,1,1,1,2.217642556567,167
"Hennepin","Entire home/apt",1.5,1,2,4,204,41,4.93,4.9,4.98,1,0,1,3,12.1453116190595,250
"Hennepin","Entire home/apt",1,2,4,1,9,117,4.81,4.87,4.79,0,0,1,6,2.66304146382363,88
"Mille Lacs","Entire home/apt",1,2,6,2,365,6,3,3,2.67,0,0,0,5,82.608690410332,125
"Ramsey","Entire home/apt",1,2,4,2,245,36,4.58,4.75,5,0,0,1,1,1.79350171176293,125
"Hennepin","Private room",1,1,2,2,34,80,4.93,4.95,4.86,1,0,0,1,3.58881391447498,49
"Hennepin","Private room",1,1,2,2,314,4,5,4.75,4.75,0,0,1,4,3.7549261548154,71
"Ramsey","Entire home/apt",1,3,5,3,83,112,4.87,4.93,5,1,0,0,1,4.88002686977753,124
"Anoka","Entire home/apt",2.5,4,10,4,359,7,5,5,5,0,0,0,1,14.4620570113725,800
"Hennepin","Entire home/apt",1,1,2,2,346,15,4.73,4.8,5,1,0,1,7,3.57110955705665,185
"Hennepin","Private room",1,1,1,21,58,6,4.67,4.5,4.67,0,1,1,1,11.8499475979343,29
"Hennepin","Private room",1,1,2,1,145,276,4.82,4.91,4.92,1,0,1,1,7.97805099648311,40
"Hennepin","Private room",1,1,1,2,126,176,4.91,4.94,4.7,1,0,1,5,1.78035424882561,45
"Hennepin","Entire home/apt",2,3,6,2,175,7,5,5,5,0,0,0,1,6.82429695189024,275
"Ramsey","Entire home/apt",1,3,8,3,66,35,4.94,4.91,4.86,1,0,1,1,3.873281898784,208
"Ramsey","Private room",1,1,2,1,320,174,4.95,4.97,4.99,1,0,1,1,2.57759060129512,60
"Hennepin","Entire home/apt",1,1,3,10,75,3,5,5,5,0,0,1,1,12.3844886104114,100
"Chisago","Entire home/apt",2,3,6,3,195,30,4.87,4.97,4.9,0,0,1,1,49.6822201273432,231
"Hennepin","Private room",1,2,4,2,312,5,5,5,5,0,0,1,4,3.61786137963955,78
"Dakota","Private room",1,1,1,1,361,21,4.62,4.62,4.52,0,0,1,5,15.5667849971172,27
"Hennepin","Entire home/apt",1,2,6,2,50,128,4.96,4.98,4.9,1,0,1,1,2.89848559620986,104
"Hennepin","Private room",1,1,2,2,179,7,5,5,4.86,0,0,1,1,11.7503025468349,150
"Carver","Entire home/apt",1,1,4,1,312,183,4.8,4.79,4.97,0,1,0,1,15.9640716069147,75
"Hennepin","Private room",1,1,2,1,172,92,4.59,4.71,4.51,0,1,1,19,0.90172812151535,36
"Hennepin","Entire home/apt",1,1,2,2,108,180,4.77,4.65,4.93,0,0,1,16,0.589136675225948,78
"Ramsey","Private room",2,1,2,1,0,3,5,5,5,0,0,1,1,3.3485847439705,90
"St. Croix","Private room",1.5,1,2,30,262,59,4.76,4.78,4.83,0,0,0,1,19.3946487784649,45
"Ramsey","Entire home/apt",2,3,13,1,247,49,5,4.98,4.98,1,0,1,3,2.65863670308855,276
"Ramsey","Entire home/apt",1,2,6,2,55,201,4.78,4.69,4.86,0,0,1,2,1.82180076516587,56
"Hennepin","Entire home/apt",1,1,5,30,298,66,4.95,4.95,4.94,1,0,1,8,2.9047105931726,95
"Chisago","Entire home/apt",2,4,9,3,243,31,4.81,4.94,4.81,0,1,1,1,29.3169419592563,457
"Ramsey","Private room",3,1,1,3,356,11,4.64,4.45,4.55,1,0,1,64,3.43110996299885,53
"Ramsey","Entire home/apt",1,2,5,2,308,45,4.89,4.91,4.98,1,0,1,3,3.46724870593004,137
"Hennepin","Private room",1,1,2,2,51,29,4.93,4.93,4.97,0,1,1,1,6.57583690693798,45
"Hennepin","Entire home/apt",1,3,6,30,362,5,5,4.8,5,0,0,0,1,2.98332914632298,300
"Wright","Entire home/apt",1,1,2,2,209,7,4.86,5,4.86,0,0,1,1,35.3461811293228,135
"Anoka","Entire home/apt",2.5,3,6,2,180,16,5,4.88,4.88,0,1,0,1,13.3858895415788,408
"Sherburne","Entire home/apt",1,3,8,2,56,121,4.85,4.76,4.89,0,1,1,1,37.3576218006337,195
"Washington","Private room",1,2,6,1,338,21,4.52,4.9,4.9,1,0,1,7,8.92084795477336,159
"Ramsey","Entire home/apt",3,3,6,2,134,61,4.9,4.95,5,1,0,0,1,2.89554596230295,299
"Scott","Entire home/apt",1,1,3,1,85,13,4.92,5,5,0,0,0,1,23.9109396484454,164
"Mille Lacs","Private room",3,5,15,1,322,17,4.94,5,4.94,0,0,1,9,81.4189770680612,606
"Hennepin","Entire home/apt",2,4,12,2,357,79,4.57,4.37,4.63,0,0,1,5,2.62236118858614,108
"Wright","Entire home/apt",2,4,9,4,3,61,4.93,4.77,4.97,0,0,1,1,47.4533972558973,400
"Hennepin","Entire home/apt",1,1,2,2,343,23,4.61,4.78,4.87,1,0,1,7,3.58907006296328,155
"Anoka","Entire home/apt",1,1,2,1,0,63,4.92,4.94,4.9,0,0,1,1,4.47402623310572,80
"Hennepin","Entire home/apt",1,1,4,2,0,141,4.98,4.99,4.96,0,0,1,1,13.184214981597,129
"St. Croix","Entire home/apt",2,2,5,2,99,139,5,4.99,5,1,0,1,2,16.8069251131647,129
"Hennepin","Entire home/apt",1,1,2,1,102,326,4.98,5,4.98,1,0,1,1,2.31763772683335,101
"Hennepin","Entire home/apt",1,1,5,30,111,70,4.94,4.96,4.96,1,0,1,8,2.93974269598365,104
"Hennepin","Entire home/apt",1,2,8,3,268,58,4.86,4.91,4.93,0,0,1,3,2.48936432521077,134
"Sherburne","Entire home/apt",2,5,14,2,256,87,4.91,4.93,4.95,1,1,0,1,49.3178854459197,379
