"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Hennepin","Entire home/apt",1,1,3,2,0,10,4.6,4.5,5,0,0,1,2,16.2436505748162,175
"Hennepin","Entire home/apt",2,2,6,14,230,10,5,4.9,4.9,0,0,1,1,5.4004835024456,599
"Ramsey","Private room",1.5,1,1,1,310,34,4.85,3.82,4.91,1,0,1,2,2.88657894475085,85
"Hennepin","Entire home/apt",1,1,2,60,208,33,4.97,4.91,5,1,1,1,1,2.70559434195459,88
"Dakota","Private room",1,1,2,1,0,61,4.97,4.98,4.98,0,0,1,1,13.3928477430286,70
"Hennepin","Entire home/apt",1.5,1,4,3,232,87,4.8,4.71,4.85,1,0,1,1,3.6902008617441,239
"Hennepin","Entire home/apt",2,2,6,2,175,200,4.95,4.94,4.97,1,0,1,1,3.5625972501222,125
"Carver","Entire home/apt",2.5,3,8,28,307,2,5,5,5,1,0,1,4,20.3772780410454,155
"Hennepin","Private room",1,1,2,2,159,55,4.85,4.73,4.91,1,0,0,1,6.52440799813289,60
"Hennepin","Entire home/apt",2,2,4,2,0,19,5,5,5,1,0,1,91,2.93170200678052,242
"Hennepin","Entire home/apt",1,2,6,3,365,17,4.41,4.35,4.88,0,0,1,3,2.16149508066019,273
"Hennepin","Entire home/apt",3.5,5,16,30,365,82,4.96,4.95,4.99,0,0,0,2,2.03389627378474,624
"Hennepin","Private room",1,1,2,1,162,286,4.7,4.73,4.44,0,1,1,19,0.908587760354668,36
"Hennepin","Private room",1,1,2,1,168,310,4.66,4.82,4.54,0,1,1,19,0.998894298189746,36
"Hennepin","Private room",1,1,2,1,137,339,4.66,4.78,4.54,0,1,1,19,0.88941163596167,36
"Hennepin","Entire home/apt",1,3,8,2,81,108,4.73,4.74,4.52,0,1,1,19,0.94657823144141,179
"Hennepin","Entire home/apt",1,1,5,3,237,115,4.99,4.96,4.96,1,0,1,2,9.42396551093451,122
"Hennepin","Entire home/apt",3,4,8,3,0,19,5,5,4.94,0,0,0,1,11.978545192958,291
"Hennepin","Private room",1,1,2,1,162,336,4.66,4.74,4.52,0,1,1,19,0.94657823144141,36
"Hennepin","Private room",1,1,2,1,162,218,4.69,4.78,4.47,0,1,1,19,0.94657823144141,36
"Hennepin","Private room",1,1,2,1,169,207,4.7,4.76,4.61,0,1,1,19,0.94657823144141,36
"Hennepin","Entire home/apt",1,1,2,30,365,19,4.61,4.56,4.89,0,0,1,3,2.42831787187438,118
"Ramsey","Private room",1.5,1,2,1,335,319,4.94,4.93,4.87,1,0,1,1,2.58501325559244,69
"Hennepin","Entire home/apt",1,1,5,2,2,93,4.89,4.88,4.89,0,1,1,1,1.89950403536119,69
"Ramsey","Private room",1,1,2,2,308,160,4.98,4.97,4.92,1,0,1,1,0.684556541926219,80
"Hennepin","Entire home/apt",1.5,3,3,30,364,3,5,5,5,0,1,1,3,2.1768662600676,92
"Ramsey","Entire home/apt",1,1,2,2,213,219,4.99,5,4.99,1,0,0,1,2.70649781312929,130
"Washington","Entire home/apt",1,2,5,30,318,61,4.95,4.95,4.93,0,0,1,1,19.3457323333539,212
"Washington","Entire home/apt",2,3,8,2,133,76,4.99,4.96,4.92,0,0,0,1,12.4398292114123,231
"Ramsey","Entire home/apt",1.5,2,5,1,327,385,4.95,4.96,4.99,1,0,1,5,0.839389274933264,119
"Wright","Private room",1,1,2,1,92,14,4.71,4.64,4.64,1,0,1,3,44.4855328235808,50
"Hennepin","Private room",1,1,2,7,365,6,5,5,5,0,0,1,1,12.0453813834344,55
"Hennepin","Entire home/apt",1,1,2,2,268,50,4.98,5,4.96,1,0,1,1,14.4544497960228,125
"Ramsey","Entire home/apt",2,3,5,2,0,5,3.67,5,5,0,0,1,2,5.66451229661404,180
"Hennepin","Entire home/apt",1,2,4,30,179,17,4.82,4.88,4.94,0,0,1,1,2.43915287725179,145
"Hennepin","Entire home/apt",1,1,4,30,365,82,4.82,4.77,4.98,0,0,0,2,2.03389627378474,115
"Sherburne","Entire home/apt",1,2,8,2,301,132,4.85,4.85,4.95,0,0,1,1,49.0510360612602,153
"Anoka","Entire home/apt",2.5,5,16,2,0,82,4.98,4.98,4.91,1,0,1,3,5.00548529656642,350
"Hennepin","Entire home/apt",3,3,6,2,278,9,4.89,4.78,5,0,0,1,1,17.2391968377988,165
"Hennepin","Private room",1,1,2,1,31,218,4.87,4.9,4.81,1,0,1,4,4.31708878334385,38
"Hennepin","Entire home/apt",1.5,3,5,4,182,217,4.88,4.83,4.94,1,0,1,1,3.19012392379384,195
"Ramsey","Private room",1,1,2,2,41,252,4.98,4.99,4.98,1,0,0,1,1.48715935140677,48
"Hennepin","Entire home/apt",1,1,4,1,257,849,4.91,4.88,4.75,1,0,1,3,0.887726522724671,115
